Search keyword report
"May 31, 2026 - June 1, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Impr.,Clicks,Avg. CPC,Cost,Demo Scheduled,Cost/Demo,Keyword ID,Campaign ID,Ad group ID
Enabled,[property management software companies],Exact match,JF_Search_Exact_US_PMS,Companies,Eligible,,USD, --,9,0,0,0.00,0.00,0.00,297684288219,21320472126,173429864784
Enabled,[landlord property management software],Exact match,Landlord,Landlord,Eligible,,USD, --,10,1,178.24,178.24,0.00,0.00,297684286299,13873742066,127909056227
Enabled,[property performance analysis tools],Exact match,Tier 1,Commercial,Eligible,,USD, --,7,0,0,0.00,0.00,0.00,2278116164089,17563224167,139234074218
Enabled,"""online rent collection software""",Phrase match,Tier 1,Rent Collection,Eligible,,USD, --,104,2,62.22,124.43,0.00,0.00,343564144986,17563224167,152771024397
Enabled,[small rental property management software],Exact match,Generic,Small,Eligible,,USD, --,65,4,70.10,280.39,0.00,0.00,387178276221,22410529614,183341127491
Enabled,[landlord management software],Exact match,Landlord,Landlord,Eligible,,USD, --,13,2,36.29,72.57,0.84,86.54,317631473,13873742066,127909056227
Enabled,[hemlane pricing],Exact match,Competitors - Tier 1,Hemlane,Limited,low quality,USD, --,14,0,0,0.00,0.00,0.00,722558109255,22408307493,189989814458
Enabled,"""quickbooks and rental properties""",Phrase match,Competitors - Tier 1,Quickbooks,Limited,low quality,USD, --,12,0,0,0.00,0.00,0.00,2176511994123,22408307493,172823269410
Enabled,"""commercial property management software""",Phrase match,Tier 1,Commercial,Eligible,,USD, --,0,0,0,0.00,0.00,0.00,306114298005,17563224167,139234074218
Enabled,[property rent collection software],Exact match,Tier 1,Rent Collection,Eligible,,USD, --,6,0,0,0.00,0.00,0.00,387178274141,17563224167,152771024397
Enabled,[rental bookkeeping software],Exact match,Generic,Bookkeeping,Eligible,,USD, --,21,2,125.72,251.43,0.00,0.00,304739381701,22410529614,177168260585
Enabled,[doorloop ai assistant],Exact match,Branded,DoorLoop AI,Eligible,,USD,4.40 (enhanced),0,0,0,0.00,0.00,0.00,2447445368612,15065860967,187284236778
